iter	RMSE
184	4269.189669
185	4240.821222
186	4215.891869
187	4184.407816
188	4151.747275
189	4124.565255
190	4100.228331
191	4072.539802
192	4039.003069
193	4012.966865
194	3982.279989
195	3960.0086
196	3932.852445
197	3904.815179
198	3884.639609
199	3857.875007
200	3831.720999
201	3802.544247
202	3777.91064
203	3753.124056
204	3734.623923
205	3715.773189
206	3693.947721
207	3668.797849
208	3650.188344
209	3626.991234
210	3603.064663
211	3578.527706
212	3558.50455
213	3538.185068
214	3513.960319
215	3499.301669
216	3480.450776
217	3458.912511
218	3437.108526
219	3414.41347
220	3395.151951
221	3372.876559
222	3352.281797
223	3334.411241
224	3317.794088
225	3299.57879
226	3277.738609
227	3257.230122
228	3236.434705
229	3213.635967
230	3197.676748
231	3181.255259
232	3164.453765
233	3144.050619
234	3123.907798
235	3106.567936
236	3091.536166
237	3078.798745
238	3060.306699
239	3042.320372
240	3029.07732
241	3012.013017
242	2999.300926
243	2984.45747
244	2967.907294
245	2951.537777
246	2937.390047
247	2923.906655
248	2911.563787
249	2900.490831
250	2884.520469
251	2871.796947
252	2857.300017
253	2844.589619
254	2829.660456
255	2815.514224
256	2799.901322
257	2784.992051
258	2770.180885
259	2758.256956
260	2745.615619
261	2733.712081
262	2720.223518
263	2708.876129
264	2696.594585
265	2687.468427
266	2676.394839
267	2666.818591
268	2655.294021
269	2643.582697
270	2631.365638
271	2621.017906
272	2608.605986
273	2595.377441
274	2583.826982
275	2572.828776
276	2562.003754
277	2550.728895
278	2540.410058
279	2530.438141
280	2520.072011
281	2510.118321
282	2498.053926
283	2487.815466
284	2478.395867
285	2468.508668
286	2460.363213
287	2453.573819
288	2445.687964
289	2435.711131
290	2426.976662
291	2422.084963
292	2412.815071
293	2403.237208
294	2395.343263
295	2387.32246
296	2378.432863
297	2369.983918
298	2361.20394
299	2356.781547
300	2348.169902
301	2339.492977
302	2330.70559
303	2321.024858
304	2313.162319
305	2304.982999
306	2298.26216
307	2294.009705
308	2286.835943
309	2278.918028
310	2269.151435
311	2260.478779
312	2251.491079
313	2243.767491
314	2237.431905
315	2230.751005
316	2222.472925
317	2215.976851
318	2209.576649
319	2200.635464
320	2194.404885
321	2186.609764
322	2178.929933
323	2171.328495
324	2164.871009
325	2158.967078
326	2151.764889
327	2148.107697
328	2142.335657
329	2135.106439
330	2128.977225
331	2121.555142
332	2112.548074
333	2105.401974
334	2099.93964
335	2094.431709
336	2086.745534
337	2080.875344
338	2077.501936
339	2068.934499
340	2065.60329
341	2059.11574
342	2054.441827
343	2047.703613
344	2039.636035
345	2034.459453
346	2028.208879
347	2022.760487
348	2014.900345
349	2007.176558
350	2001.829479
351	1996.865663
352	1991.616666
353	1984.077973
354	1979.22172
355	1974.420852
356	1969.674716
357	1964.601508
358	1959.94083
359	1952.611885
360	1948.019686
361	1943.479598
362	1938.991014
363	1932.029005
364	1924.942771
365	1920.522095
366	1916.151327
367	1911.829892
368	1907.069318
369	1901.553757
370	1896.892567
371	1891.432748
372	1886.028248
373	1880.612837
374	1875.274069
375	1869.903954
376	1865.778564
377	1861.2674
378	1854.177458
379	1850.12818
380	1846.124235
381	1842.165113
382	1838.250311
383	1834.379333
384	1829.245906
385	1825.430254
386	1821.657285
387	1817.926522
388	1814.237494
389	1810.589735
390	1806.982787
391	1803.416196
392	1799.889512
393	1796.657782
394	1793.204724
395	1789.790313
396	1786.660063
397	1783.316912
398	1780.252474
399	1777.22043
400	1774.220407
401	1771.252037
402	1768.314961
403	1765.408823
404	1762.533275
405	1759.687972
406	1756.872576
407	1753.371115
408	1750.598548
409	1747.855151
410	1745.140599
411	1738.219948
412	1735.533551
413	1732.875342
414	1730.245012
415	1727.642257
416	1725.066776
417	1722.518275
418	1719.996461
419	1715.051957
420	1712.558571
421	1710.091315
422	1707.64991
423	1705.234077
424	1700.358037
425	1697.969427
426	1691.15595
427	1688.79109
428	1686.451004
429	1684.135429
430	1679.331914
431	1677.042354
432	1672.299204
433	1670.035359
434	1665.351715
435	1658.647628
436	1656.407392
437	1654.19069
438	1651.997269
439	1647.379868
440	1645.211003
441	1643.064942
442	1640.941442
443	1638.840264
444	1634.284773
445	1632.207122
446	1630.151337
447	1628.117185
448	1621.499705
449	1617.007207
450	1614.993514
451	1610.556572
452	1608.565362
453	1606.595148
454	1602.214221
455	1600.266004
456	1598.338355
457	1596.431056
458	1589.904766
459	1585.582938
460	1583.694262
461	1581.825544
462	1577.557779
463	1575.70987
464	1573.88151
465	1572.072491
466	1567.859019
467	1566.070149
468	1564.300226
469	1557.855662
470	1553.696633
471	1549.587286
472	1547.835004
473	1546.101323
474	1544.386045
475	1542.688974
476	1538.632071
477	1532.272364
478	1528.265219
479	1526.584621
480	1524.921902
481	1523.27687
482	1519.319532
483	1517.69272
484	1516.083232
485	1509.799675
486	1505.891605
487	1504.296634
488	1502.718667
489	1498.858073
490	1497.297538
491	1495.753656
492	1494.226251
493	1490.413052
494	1488.902521
495	1482.688892
496	1478.921662
497	1476.608893
498	1470.494109
499	1467.814517
500	1465.165077
501	1462.898994
502	1456.848954
503	1454.308526
504	1451.798795
505	1449.319323
506	1445.706577
507	1439.717652
508	1437.283195
509	1434.877811
510	1432.501095
511	1428.996361
512	1423.061845
513	1420.728786
514	1418.42326
515	1416.144895
516	1410.255856
517	1407.996713
518	1405.764018
519	1403.55742
520	1398.353222
521	1396.169708
522	1390.374157
523	1388.208448
524	1386.067833
525	1383.95199
526	1381.766704
527	1376.036815
528	1373.937872
529	1371.863118
530	1369.812246
531	1364.742959
532	1362.712815
533	1357.07134
534	1355.056959
535	1353.065604
536	1351.096989
537	1348.962756
538	1343.987694
539	1342.038596
540	1336.493401
541	1334.559077
542	1332.64673
543	1330.756092
544	1327.683839
545	1322.801148
546	1320.945429
547	1315.482713
548	1313.640666
549	1309.409659
550	1307.580638
551	1304.584218
552	1301.622048
553	1297.40648
554	1294.770022
555	1290.035709
556	1285.876679
557	1283.276064
558	1280.707619
559	1276.576517
560	1274.033042
561	1272.254521
562	1269.748356
563	1265.637384
564	1263.155446
565	1261.401029
566	1257.316771
567	1254.864471
568	1252.442364
569	1250.711498
570	1246.647105
571	1244.253759
572	1241.889841
573	1237.852471
574	1235.511074
575	1233.801379
576	1231.494063
577	1227.476287
578	1225.190841
579	1223.503597
580	1221.251349
581	1217.25311
582	1215.022103
583	1213.356821
584	1209.3844
585	1207.179401
586	1205.001363
587	1203.357575
588	1199.404515
589	1197.25174
590	1195.125254
591	1193.502506
592	1189.568771
593	1187.466828
594	1185.390524
595	1183.788375
596	1179.873934
597	1177.821477
598	1175.794026
599	1174.212052
600	1170.31688
601	1168.312604
602	1166.74602
603	1162.876022
604	1160.894577
605	1158.937219
606	1157.390136
607	1153.539266
608	1152.073042
609	1150.446767
610	1146.625499
611	1145.190609
612	1143.288019
613	1141.884366
614	1140.315045
615	1136.515182
616	1134.654036
617	1131.685045
618	1127.924322
619	1126.571208
620	1123.655296
621	1122.113206
622	1118.388188
623	1116.856743
624	1115.529613
625	1111.831871
626	1108.969752
627	1107.446
628	1105.656523
629	1101.990378
630	1099.175473
631	1097.663387
632	1096.168028
633	1092.532293
634	1091.276811
635	1087.671985
636	1086.399314
637	1083.646476
638	1082.152646
639	1078.58187
640	1077.35787
641	1074.651677
642	1073.16534
643	1069.626319
644	1068.15018
645	1066.948366
646	1063.433367
647	1062.242635
648	1059.596486
649	1058.127973
650	1054.644268
651	1053.474728
652	1050.020789
653	1048.862025
654	1046.277555
655	1044.810438
656	1041.387261
657	1040.138642
658	1038.683667
659	1035.282914
660	1033.635985
661	1032.195072
662	1029.660067
663	1028.23182
664	1024.854025
665	1023.628121
666	1022.211649
667	1018.856045
668	1017.74367
669	1015.261359
670	1013.851673
671	1010.525981
672	1009.320952
673	1007.922837
674	1004.619004
675	1003.032597
676	1001.647954
677	999.2127583
678	995.9370017
679	994.5587421
680	993.3753938
681	992.0140765
682	988.7542298
683	987.2027962
684	985.8545634
685	982.6157021
686	981.5560385
687	980.3925835
688	979.0555641
689	975.8347197
690	973.4707585
691	972.1398304
692	968.9509999
693	967.9132748
694	966.7694198
695	965.4494972
696	962.2784512
697	959.9632584
698	958.6493262
699	957.522421
700	956.2245473
701	953.0756121
702	950.7932189
703	949.5011917
704	946.3835071
705	945.3659088
706	944.0846269
707	940.9866133
708	939.9770839
709	938.7064318
710	935.6279722
711	934.7165886
712	932.4915023
713	931.2266889
714	928.1754849
715	927.2779849
716	926.3906821
717	923.3621994
718	921.1854375
719	919.9212992
720	919.0475021
721	916.0458951
722	915.1788816
723	913.0432322
724	911.7849369
725	908.8099487
726	907.9561475
727	906.8997619
728	905.651626
729	902.6932639
730	901.852058
731	899.764998
732	898.5224883
733	895.5904006
734	894.7620027
735	893.5278695
736	890.6158233
737	889.793917
738	886.9278464
739	884.0535463
740	883.0237948
741	881.7911857
742	878.935896
743	878.128497
744	877.1129583
745	875.8902181
746	873.050917
747	871.0551442
748	869.8378578
749	867.0266949
750	866.2343501
751	865.4510116
752	862.6998035
753	859.9224542
754	857.1717817
755	856.1747094
756	854.954032
757	854.1845942
758	851.4493179
759	849.5361631
760	848.3210002
761	845.6128199
762	844.6322564
763	843.4267681
764	842.6717238
765	839.9787377
766	838.1036951
767	836.9036315
768	834.2373098
769	833.4911892
770	832.7535573
771	830.1077069
772	828.2737336
773	827.0742231
774	824.4545471
775	823.4999631
776	822.3099936
777	821.5861801
778	818.9812363
779	817.183778
780	815.999151
781	813.4199663
782	812.7047494
783	811.9976703
784	809.4384326
785	806.9463101
786	804.4232946
787	803.4908209
788	802.3030629
789	799.7966148
790	798.8720526
791	797.6937385
792	795.2037394
793	794.509423
794	792.7937204
795	791.6207494
796	789.1530163
797	788.4693756
798	786.0231543
799	784.3401814
800	783.1679087
801	780.7458664
802	780.0704515
803	779.1701265
804	778.0071017
805	775.598672
806	774.9333083
807	772.5943927
808	770.2180099
809	767.8646452
810	766.9733591
811	765.8075348
812	763.4695413
813	761.8586459
814	760.6982562
815	758.383384
816	757.730588
817	757.0852307
818	754.7885135
819	753.2133701
820	752.05375
821	749.7797297
822	748.9072199
823	747.7568419
824	747.1237338
825	744.8624703
826	744.2345005
827	742.695753
828	741.550557
829	739.309573
830	738.4557773
831	737.3196851
832	735.0933592
833	734.477324
834	732.9694826
835	730.7674693
836	730.16109
837	729.3241875
838	728.1902119
839	726.0006175
840	724.5253867
841	723.3967522
842	721.2287747
843	720.6339286
844	718.4851345
845	717.8951643
846	715.8197457
847	713.7000422
848	711.6010267
849	710.7763605
850	709.6409973
851	707.5556228
852	706.0963399
853	704.6863266
854	703.5650993
855	701.4955
856	700.0592643
857	699.2504349
858	697.1937304
859	696.6295243
860	695.2527645
861	694.1425092
862	692.1043256
863	690.6950728
864	688.6721452
865	688.1207916
866	686.1737898
867	684.1784674
868	682.2026762
869	681.407312
870	680.3095253
871	678.9201895
872	676.9527099
873	676.1673574
874	675.0861912
875	673.1315304
876	671.819654
877	670.7433782
878	668.8080955
879	667.4424531
880	666.9150287
881	666.2984091
882	664.3741355
883	663.0287955
884	661.1805085
885	659.2798853
886	657.3978877
887	656.0598817
888	655.2942877
889	653.4240842
890	652.1773576
891	651.1142817
892	650.0619747
893	648.2064899
894	646.8956977
895	646.3021717
896	644.4589056
897	643.162335
898	641.396491
899	639.575985
900	637.7733517
901	636.4839645
902	635.733719
903	633.9424283
904	632.6661257
905	631.9238287
906	630.8957026
907	629.1119672
908	627.9287485
909	626.905406
910	625.1393917
911	623.8891571
912	623.3229142
913	621.5686235
914	620.3319629
915	618.6563644
916	616.9238794
917	615.2084292
918	613.9786998
919	613.2509002
920	612.2460068
921	610.5378004
922	609.4084041
923	608.4082509
924	606.7170323
925	605.5125227
926	604.7958112
927	603.8108649
928	602.126863
929	601.5846108
930	599.9155963
931	598.7299222
932	597.1378338
933	595.4896688
934	594.510481
935	592.8750811
936	591.7032042
937	590.6696372
938	589.0531275
939	588.0376852
940	586.9563468
941	585.9498501
942	584.3652988
943	583.3929616
944	581.8206356
945	580.6532278
946	579.6687151
947	578.6023628
948	577.6265008
949	576.6617934
950	575.1227299
951	574.1607667
952	572.6335425
953	571.5799973
954	570.6359273
955	569.6793684
956	568.1731155
957	567.2230491
958	565.7283946
959	564.5759305
960	563.6529058
961	562.6124329
962	561.6974808
963	560.7929867
964	559.3294423
965	558.3897118
966	556.9374079
967	555.7934351
968	554.9083356
969	553.47216
970	552.4475198
971	551.5752771
972	550.7129957
973	549.783625
974	548.3720544
975	547.3565409
976	546.507408
977	545.5834021
978	544.1910215
979	543.2734185
980	541.8917221
981	540.7632659
982	539.9328006
983	538.5662485
984	537.567074
985	536.7485585
986	535.9393915
987	535.0320897
988	533.8396754
989	532.7203183
990	531.5363276
991	530.5519871
992	529.6551325
993	528.4840465
994	527.3800968
995	526.8673183
996	526.0692935
997	524.9077731
998	523.8144704
999	522.6611912
